H,G,F,E,D,C,B,A
H1,G1,F2,E2,D1,C2,B51,A2
H1,G1,F2,E2,D1,C2,B51,A3
H1,G1,F2,E2,D1,C2,B51,A4
H1,G1,F2,E2,D1,C2,B51,A5
H1,G1,F2,E2,D1,C2,B52,A1
H1,G1,F2,E2,D1,C2,B52,A2
H1,G1,F2,E2,D1,C2,B52,A3
H1,G1,F2,E2,D1,C2,B52,A4
H1,G1,F2,E2,D1,C2,B52,A5
H1,G1,F2,E2,D1,C3,B53,A1
H1,G1,F2,E2,D1,C3,B53,A2
H1,G1,F2,E2,D1,C3,B53,A3
H1,G1,F2,E2,D1,C3,B53,A4
H1,G1,F2,E2,D1,C3,B53,A5
H1,G1,F2,E2,D1,C3,B54,A1
H1,G1,F2,E2,D1,C3,B54,A2
H1,G1,F2,E2,D1,C3,B54,A3
H1,G1,F2,E2,D1,C3,B54,A4
H1,G1,F2,E2,D1,C3,B54,A5
H1,G1,F2,E2,D1,C4,B55,A1
H1,G1,F2,E2,D1,C4,B55,A2
H1,G1,F2,E2,D1,C4,B55,A3
H1,G1,F2,E2,D1,C4,B55,A4
H1,G1,F2,E2,D1,C4,B55,A5
H1,G1,F2,E2,D1,C4,B56,A1
H1,G1,F2,E2,D1,C4,B56,A2
H1,G1,F2,E2,D1,C4,B56,A3
H1,G1,F2,E2,D1,C4,B56,A4
H1,G1,F2,E2,D1,C4,B56,A5
H1,G1,F2,E2,D2,C1,B57,A1
H1,G1,F2,E2,D2,C1,B57,A2
H1,G1,F2,E2,D2,C1,B57,A3
H1,G1,F2,E2,D2,C1,B57,A4
H1,G1,F2,E2,D2,C1,B57,A5
H1,G1,F2,E2,D2,C1,B58,A1
H1,G1,F2,E2,D2,C1,B58,A2
H1,G1,F2,E2,D2,C1,B58,A3
H1,G1,F2,E2,D2,C1,B58,A4
H1,G1,F2,E2,D2,C1,B58,A5
H1,G1,F2,E2,D2,C2,B59,A1
H1,G1,F2,E2,D2,C2,B59,A2
H1,G1,F2,E2,D2,C2,B59,A3
H1,G1,F2,E2,D2,C2,B59,A4
H1,G1,F2,E2,D2,C2,B59,A5
H1,G1,F2,E2,D2,C2,B60,A1
H1,G1,F2,E2,D2,C2,B60,A2
H1,G1,F2,E2,D2,C2,B60,A3
H1,G1,F2,E2,D2,C2,B60,A4
H1,G1,F2,E2,D2,C2,B60,A5
H1,G1,F2,E2,D2,C3,B61,A1
H1,G1,F2,E2,D2,C3,B61,A2
H1,G1,F2,E2,D2,C3,B61,A3
H1,G1,F2,E2,D2,C3,B61,A4
H1,G1,F2,E2,D2,C3,B61,A5
H1,G1,F2,E2,D2,C3,B62,A1
H1,G1,F2,E2,D2,C3,B62,A2
H1,G1,F2,E2,D2,C3,B62,A3
H1,G1,F2,E2,D2,C3,B62,A4
H1,G1,F2,E2,D2,C3,B62,A5
H1,G1,F2,E2,D2,C4,B63,A1
H1,G1,F2,E2,D2,C4,B63,A2
H1,G1,F2,E2,D2,C4,B63,A3
H1,G1,F2,E2,D2,C4,B63,A4
H1,G1,F2,E2,D2,C4,B63,A5
H1,G1,F2,E2,D2,C4,B64,A1
H1,G1,F2,E2,D2,C4,B64,A2
H1,G1,F2,E2,D2,C4,B64,A3
H1,G1,F2,E2,D2,C4,B64,A4
H1,G1,F2,E2,D2,C4,B64,A5
H1,G2,F1,E1,D1,C1,B65,A1
H1,G2,F1,E1,D1,C1,B65,A2
H1,G2,F1,E1,D1,C1,B65,A3
H1,G2,F1,E1,D1,C1,B65,A4
H1,G2,F1,E1,D1,C1,B65,A5
H1,G2,F1,E1,D1,C1,B66,A1
H1,G2,F1,E1,D1,C1,B66,A2
H1,G2,F1,E1,D1,C1,B66,A3
H1,G2,F1,E1,D1,C1,B66,A4
H1,G2,F1,E1,D1,C1,B66,A5
H1,G2,F1,E1,D1,C2,B67,A1
H1,G2,F1,E1,D1,C2,B67,A2
H1,G2,F1,E1,D1,C2,B67,A3
H1,G2,F1,E1,D1,C2,B67,A4
H1,G2,F1,E1,D1,C2,B67,A5
H1,G2,F1,E1,D1,C2,B68,A1
H1,G2,F1,E1,D1,C2,B68,A2
H1,G2,F1,E1,D1,C2,B68,A3
H1,G2,F1,E1,D1,C2,B68,A4
H1,G2,F1,E1,D1,C2,B68,A5
H1,G2,F1,E1,D1,C3,B69,A1
H1,G2,F1,E1,D1,C3,B69,A2
H1,G2,F1,E1,D1,C3,B69,A3
H1,G2,F1,E1,D1,C3,B69,A4
H1,G2,F1,E1,D1,C3,B69,A5
H1,G2,F1,E1,D1,C3,B70,A1
H1,G2,F1,E1,D1,C3,B70,A2
H1,G2,F1,E1,D1,C3,B70,A3
H1,G2,F1,E1,D1,C3,B70,A4
H1,G2,F1,E1,D1,C3,B70,A5
H1,G2,F1,E1,D1,C4,B71,A1
H1,G2,F1,E1,D1,C4,B71,A2
H1,G2,F1,E1,D1,C4,B71,A3
H1,G2,F1,E1,D1,C4,B71,A4
H1,G2,F1,E1,D1,C4,B71,A5
H1,G2,F1,E1,D1,C4,B72,A1
H1,G2,F1,E1,D1,C4,B72,A2
H1,G2,F1,E1,D1,C4,B72,A3
H1,G2,F1,E1,D1,C4,B72,A4
H1,G2,F1,E1,D1,C4,B72,A5
H1,G2,F1,E1,D2,C1,B73,A1
H1,G2,F1,E1,D2,C1,B73,A2
H1,G2,F1,E1,D2,C1,B73,A3
H1,G2,F1,E1,D2,C1,B73,A4
H1,G2,F1,E1,D2,C1,B73,A5
H1,G2,F1,E1,D2,C1,B74,A1
H1,G2,F1,E1,D2,C1,B74,A2
H1,G2,F1,E1,D2,C1,B74,A3
H1,G2,F1,E1,D2,C1,B74,A4
H1,G2,F1,E1,D2,C1,B74,A5
H1,G2,F1,E1,D2,C2,B75,A1
H1,G2,F1,E1,D2,C2,B75,A2
H1,G2,F1,E1,D2,C2,B75,A3
H1,G2,F1,E1,D2,C2,B75,A4
H1,G2,F1,E1,D2,C2,B75,A5
H1,G2,F1,E1,D2,C2,B76,A1
H1,G2,F1,E1,D2,C2,B76,A2
H1,G2,F1,E1,D2,C2,B76,A3
H1,G2,F1,E1,D2,C2,B76,A4
H1,G2,F1,E1,D2,C2,B76,A5
H1,G2,F1,E1,D2,C3,B77,A1
H1,G2,F1,E1,D2,C3,B77,A2
H1,G2,F1,E1,D2,C3,B77,A3
H1,G2,F1,E1,D2,C3,B77,A4
H1,G2,F1,E1,D2,C3,B77,A5
H1,G2,F1,E1,D2,C3,B78,A1
H1,G2,F1,E1,D2,C3,B78,A2
H1,G2,F1,E1,D2,C3,B78,A3
H1,G2,F1,E1,D2,C3,B78,A4
H1,G2,F1,E1,D2,C3,B78,A5
H1,G2,F1,E1,D2,C4,B79,A1
H1,G2,F1,E1,D2,C4,B79,A2
H1,G2,F1,E1,D2,C4,B79,A3
H1,G2,F1,E1,D2,C4,B79,A4
H1,G2,F1,E1,D2,C4,B79,A5
H1,G2,F1,E1,D2,C4,B80,A1
H1,G2,F1,E1,D2,C4,B80,A2
H1,G2,F1,E1,D2,C4,B80,A3
H1,G2,F1,E1,D2,C4,B80,A4
H1,G2,F1,E1,D2,C4,B80,A5
H1,G2,F1,E2,D1,C1,B81,A1
H1,G2,F1,E2,D1,C1,B81,A2
H1,G2,F1,E2,D1,C1,B81,A3
H1,G2,F1,E2,D1,C1,B81,A4
H1,G2,F1,E2,D1,C1,B81,A5
H1,G2,F1,E2,D1,C1,B82,A1
H1,G2,F1,E2,D1,C1,B82,A2
H1,G2,F1,E2,D1,C1,B82,A3
H1,G2,F1,E2,D1,C1,B82,A4
H1,G2,F1,E2,D1,C1,B82,A5
H1,G2,F1,E2,D1,C2,B83,A1
H1,G2,F1,E2,D1,C2,B83,A2
H1,G2,F1,E2,D1,C2,B83,A3
H1,G2,F1,E2,D1,C2,B83,A4
H1,G2,F1,E2,D1,C2,B83,A5
H1,G2,F1,E2,D1,C2,B84,A1
H1,G2,F1,E2,D1,C2,B84,A2
H1,G2,F1,E2,D1,C2,B84,A3
H1,G2,F1,E2,D1,C2,B84,A4
H1,G2,F1,E2,D1,C2,B84,A5
H1,G2,F1,E2,D1,C3,B85,A1
H1,G2,F1,E2,D1,C3,B85,A2
H1,G2,F1,E2,D1,C3,B85,A3
H1,G2,F1,E2,D1,C3,B85,A4
H1,G2,F1,E2,D1,C3,B85,A5
H1,G2,F1,E2,D1,C3,B86,A1
H1,G2,F1,E2,D1,C3,B86,A2
H1,G2,F1,E2,D1,C3,B86,A3
H1,G2,F1,E2,D1,C3,B86,A4
H1,G2,F1,E2,D1,C3,B86,A5
H1,G2,F1,E2,D1,C4,B87,A1
H1,G2,F1,E2,D1,C4,B87,A2
H1,G2,F1,E2,D1,C4,B87,A3
H1,G2,F1,E2,D1,C4,B87,A4
H1,G2,F1,E2,D1,C4,B87,A5
H1,G2,F1,E2,D1,C4,B88,A1
H1,G2,F1,E2,D1,C4,B88,A2
H1,G2,F1,E2,D1,C4,B88,A3
H1,G2,F1,E2,D1,C4,B88,A4
H1,G2,F1,E2,D1,C4,B88,A5
H1,G2,F1,E2,D2,C1,B89,A1
H1,G2,F1,E2,D2,C1,B89,A2
H1,G2,F1,E2,D2,C1,B89,A3
H1,G2,F1,E2,D2,C1,B89,A4
H1,G2,F1,E2,D2,C1,B89,A5
H1,G2,F1,E2,D2,C1,B90,A1
H1,G2,F1,E2,D2,C1,B90,A2
H1,G2,F1,E2,D2,C1,B90,A3
H1,G2,F1,E2,D2,C1,B90,A4
H1,G2,F1,E2,D2,C1,B90,A5
H1,G2,F1,E2,D2,C2,B91,A1
H1,G2,F1,E2,D2,C2,B91,A2
H1,G2,F1,E2,D2,C2,B91,A3
H1,G2,F1,E2,D2,C2,B91,A4
H1,G2,F1,E2,D2,C2,B91,A5
H1,G2,F1,E2,D2,C2,B92,A1
H1,G2,F1,E2,D2,C2,B92,A2
H1,G2,F1,E2,D2,C2,B92,A3
H1,G2,F1,E2,D2,C2,B92,A4
H1,G2,F1,E2,D2,C2,B92,A5
H1,G2,F1,E2,D2,C3,B93,A1
H1,G2,F1,E2,D2,C3,B93,A2
H1,G2,F1,E2,D2,C3,B93,A3
H1,G2,F1,E2,D2,C3,B93,A4
H1,G2,F1,E2,D2,C3,B93,A5
H1,G2,F1,E2,D2,C3,B94,A1
H1,G2,F1,E2,D2,C3,B94,A2
H1,G2,F1,E2,D2,C3,B94,A3
H1,G2,F1,E2,D2,C3,B94,A4
H1,G2,F1,E2,D2,C3,B94,A5
H1,G2,F1,E2,D2,C4,B95,A1
H1,G2,F1,E2,D2,C4,B95,A2
H1,G2,F1,E2,D2,C4,B95,A3
H1,G2,F1,E2,D2,C4,B95,A4
H1,G2,F1,E2,D2,C4,B95,A5
H1,G2,F1,E2,D2,C4,B96,A1
H1,G2,F1,E2,D2,C4,B96,A2
H1,G2,F1,E2,D2,C4,B96,A3
H1,G2,F1,E2,D2,C4,B96,A4
H1,G2,F1,E2,D2,C4,B96,A5
H1,G2,F2,E1,D1,C1,B97,A1
H1,G2,F2,E1,D1,C1,B97,A2
H1,G2,F2,E1,D1,C1,B97,A3
H1,G2,F2,E1,D1,C1,B97,A4
H1,G2,F2,E1,D1,C1,B97,A5
H1,G2,F2,E1,D1,C1,B98,A1
H1,G2,F2,E1,D1,C1,B98,A2
H1,G2,F2,E1,D1,C1,B98,A3
H1,G2,F2,E1,D1,C1,B98,A4
H1,G2,F2,E1,D1,C1,B98,A5
H1,G2,F2,E1,D1,C2,B99,A1
H1,G2,F2,E1,D1,C2,B99,A2
H1,G2,F2,E1,D1,C2,B99,A3
H1,G2,F2,E1,D1,C2,B99,A4
H1,G2,F2,E1,D1,C2,B99,A5
H1,G2,F2,E1,D1,C2,B100,A1
H1,G2,F2,E1,D1,C2,B100,A2
H1,G2,F2,E1,D1,C2,B100,A3
H1,G2,F2,E1,D1,C2,B100,A4
H1,G2,F2,E1,D1,C2,B100,A5
H1,G2,F2,E1,D1,C3,B101,A1
H1,G2,F2,E1,D1,C3,B101,A2
H1,G2,F2,E1,D1,C3,B101,A3
H1,G2,F2,E1,D1,C3,B101,A4
H1,G2,F2,E1,D1,C3,B101,A5
H1,G2,F2,E1,D1,C3,B102,A1
H1,G2,F2,E1,D1,C3,B102,A2
H1,G2,F2,E1,D1,C3,B102,A3
H1,G2,F2,E1,D1,C3,B102,A4
H1,G2,F2,E1,D1,C3,B102,A5
H1,G2,F2,E1,D1,C4,B103,A1
H1,G2,F2,E1,D1,C4,B103,A2
H1,G2,F2,E1,D1,C4,B103,A3
H1,G2,F2,E1,D1,C4,B103,A4
H1,G2,F2,E1,D1,C4,B103,A5
H1,G2,F2,E1,D1,C4,B104,A1
H1,G2,F2,E1,D1,C4,B104,A2
H1,G2,F2,E1,D1,C4,B104,A3
H1,G2,F2,E1,D1,C4,B104,A4
H1,G2,F2,E1,D1,C4,B104,A5
H1,G2,F2,E1,D2,C1,B105,A1
H1,G2,F2,E1,D2,C1,B105,A2
H1,G2,F2,E1,D2,C1,B105,A3
H1,G2,F2,E1,D2,C1,B105,A4
H1,G2,F2,E1,D2,C1,B105,A5
H1,G2,F2,E1,D2,C1,B106,A1
H1,G2,F2,E1,D2,C1,B106,A2
H1,G2,F2,E1,D2,C1,B106,A3
H1,G2,F2,E1,D2,C1,B106,A4
H1,G2,F2,E1,D2,C1,B106,A5
H1,G2,F2,E1,D2,C2,B107,A1
H1,G2,F2,E1,D2,C2,B107,A2
H1,G2,F2,E1,D2,C2,B107,A3
H1,G2,F2,E1,D2,C2,B107,A4
H1,G2,F2,E1,D2,C2,B107,A5
H1,G2,F2,E1,D2,C2,B108,A1
H1,G2,F2,E1,D2,C2,B108,A2
H1,G2,F2,E1,D2,C2,B108,A3
H1,G2,F2,E1,D2,C2,B108,A4
H1,G2,F2,E1,D2,C2,B108,A5
H1,G2,F2,E1,D2,C3,B109,A1
H1,G2,F2,E1,D2,C3,B109,A2
H1,G2,F2,E1,D2,C3,B109,A3
H1,G2,F2,E1,D2,C3,B109,A4
H1,G2,F2,E1,D2,C3,B109,A5
H1,G2,F2,E1,D2,C3,B110,A1
H1,G2,F2,E1,D2,C3,B110,A2
H1,G2,F2,E1,D2,C3,B110,A3
H1,G2,F2,E1,D2,C3,B110,A4
H1,G2,F2,E1,D2,C3,B110,A5
H1,G2,F2,E1,D2,C4,B111,A1
H1,G2,F2,E1,D2,C4,B111,A2
H1,G2,F2,E1,D2,C4,B111,A3
H1,G2,F2,E1,D2,C4,B111,A4
H1,G2,F2,E1,D2,C4,B111,A5
H1,G2,F2,E1,D2,C4,B112,A1
H1,G2,F2,E1,D2,C4,B112,A2
H1,G2,F2,E1,D2,C4,B112,A3
H1,G2,F2,E1,D2,C4,B112,A4
H1,G2,F2,E1,D2,C4,B112,A5
H1,G2,F2,E2,D1,C1,B113,A1
H1,G2,F2,E2,D1,C1,B113,A2
H1,G2,F2,E2,D1,C1,B113,A3
H1,G2,F2,E2,D1,C1,B113,A4
H1,G2,F2,E2,D1,C1,B113,A5
H1,G2,F2,E2,D1,C1,B114,A1
H1,G2,F2,E2,D1,C1,B114,A2
H1,G2,F2,E2,D1,C1,B114,A3
H1,G2,F2,E2,D1,C1,B114,A4
H1,G2,F2,E2,D1,C1,B114,A5
H1,G2,F2,E2,D1,C2,B115,A1
H1,G2,F2,E2,D1,C2,B115,A2
H1,G2,F2,E2,D1,C2,B115,A3
H1,G2,F2,E2,D1,C2,B115,A4
H1,G2,F2,E2,D1,C2,B115,A5
H1,G2,F2,E2,D1,C2,B116,A1
H1,G2,F2,E2,D1,C2,B116,A2
H1,G2,F2,E2,D1,C2,B116,A3
H1,G2,F2,E2,D1,C2,B116,A4
H1,G2,F2,E2,D1,C2,B116,A5
H1,G2,F2,E2,D1,C3,B117,A1
H1,G2,F2,E2,D1,C3,B117,A2
